date,max_temp,min_temp
2026-07-30,29.3,15.0
2026-07-31,30.1,13.6
2026-08-01,36.0,12.4
2026-08-02,38.7,12.7
2026-08-03,36.4,12.8
2026-08-04,34.1,12.3
2026-08-05,35.1,12.1
